Core_ID,Core_section,Pb,As,Zn,Ni,V,Cr,Cu,Ba,Be
PS-4,0-2,21.7,7.24,96.2,39.8,107,79.3,37.3,377,0.976
PS-4,2 to 4,22.6,7.53,97.2,40.6,108,80.3,38,381,0.989
PS-4,6 to 8,20.1,7.09,90.5,37.9,99.3,72,35.2,352,0.938
PS-4,8 to 10,22.4,7.97,100,41.6,110,80.9,38.5,389,1.01
PS-4,10 to 12,23.1,8.06,100,41.9,109,81.5,39,387,1.03
PS-4,12 to 14,23.2,8.2,100,41.9,110,80.3,39,388,1.02
PS-4,14-16,24,8.56,102,42.1,111,83.2,39.3,397,1.02
PS-4,16-18,23.8,7.99,102,42.6,111,83.6,39.2,394,1.02
PS-4,18-20,24,8.32,102,42.3,110,82.4,38.9,390,1.01
PS-4,20-22,24.2,7.91,102,41.9,112,82.9,39.6,397,1.03
PS-4,22-24,23.9,8.42,102,42.6,111,83.4,39.7,391,1.03
PS-4,24-26,23.5,8.97,102,41.7,112,83,39.8,396,1.03
PS-4,26-28,23.1,8.87,101,42.2,111,84,39.2,391,1.03
PS-4,28-30,23.1,8.79,99,41.4,109,81.5,38.7,387,1.02
PS-4,30-32,23.8,8.93,100,46.2,113,89.1,40.3,385,1.02
PS-4,32-34,24.5,9.18,101,42.7,111,83.9,40.2,388,1.02
PS-4,34-36,24.7,9.2,102,42.5,111,83.5,40,391,1.02
PS-4,36-38,25.5,8.97,103,43,112,83.4,39.8,391,1.01
PS-4,38-40,25.6,9.7,102,42.7,111,84.4,40.5,392,1
PS-4,40-42,25.3,9.62,106,42.7,115,83.9,41.3,414,1.09
PS-4,42-44,25,8.71,103,41.4,111,80.7,40.8,405,1.05
PS-4,44-46,26.3,9.9,105,42.9,115,83.8,42.4,417,1.09
PS-4,46-48,26.4,9.43,107,42.1,114,84.1,41.7,415,1.08
PS-4,48-50,26.7,9.94,105,42,113,82.1,41.3,405,1.08
PS-4,50-55,28.2,9.55,110,43.8,118,86.1,42.7,428,1.08
PS-4,55-60,29.4,9.66,109,43.3,115,86.4,42.2,414,1.06
PS-4,60-65,30.8,10.2,111,44.3,117,85.4,44.3,422,1.1
PS-4,65-70,30.3,9.63,107,42.2,113,84.1,42.5,406,1.06
PS-4,70-75,31.7,10.3,110,42.9,116,85.4,44.2,419,1.1
PS-4,75-80,35.5,11.9,113,43.4,116,86.5,46.7,416,1.08
PS-4,80-85,39.9,13.5,117,44.7,118,86,49.9,424,1.06
PS-4,85-90,40.5,12.8,117,44,116,86.9,49.3,421,1.1
PS-4,90-95,41.3,14.1,118,44.2,117,85.9,49,418,1.07
PS-4,95-100,41.9,14.2,117,44.3,116,86.5,49.1,413,1.07
PS-4,100-105,40,12.8,119,45.2,119,88,49.2,422,1.1
PS-4,105-110,45.3,16,123,45,118,87.2,50.6,430,1.1
PS-4,110-115,42.4,15.1,120,45.1,118,87.4,49,442,1.09
PS-4,115-120,42.5,13.8,120,45.4,120,88,48.9,439,1.13
PS-4,120-125,40.2,13.1,118,45.9,119,89.4,47.4,424,1.09
PS-4,125-130,42.4,14.9,117,45.5,119,85.1,47.1,428,1.19
PS-4,130-135,41.6,15.4,118,45.9,121,83,48.2,429,1.24
PS-4,135-140,42.7,14.7,118,46.3,121,85.5,49,429,1.18
PS-4,140-145,40.9,14.9,116,44.9,120,84.9,47,427,1.23
PS-4,145-150,40,15.3,116,46.1,122,84.3,46.2,436,1.22
PS-4,150-155,39.7,16.1,115,46.3,121,83.2,45.9,432,1.27
PS-4,155-160,38.7,14,114,45.1,120,84,45,424,1.18
PS-4,160-165,38,13.5,114,45.1,119,83.8,43.9,441,1.21
PS-4,165-170,40.1,14.1,112,45.8,120,83,44.9,432,1.22
PS-4,170-175,37.2,13.3,107,44.8,119,82.1,44.4,426,1.22
PS-4,175-180,41,12.5,107,44.1,118,79.9,45,418,1.22
PS-4,180-185,37.2,11.6,100,43.3,116,77.9,44.5,414,1.21
PS-4,185-190,31.7,11.9,98,44,117,79.6,41.8,420,1.22
PS-4,190-195,30.6,11.4,97.1,43.5,117,78.8,41.9,421,1.21
PS-4,195-200,24.5,10.7,95.5,43.5,119,80.2,40.8,427,1.25
PS-4,200-205,20.1,10.8,91.8,43.7,118,79.1,38.2,426,1.24
PS-4,205-210,18,8.93,89.5,44.2,117,80.1,35.6,426,1.23
PS-4,210-215,19.2,9.79,88.5,44.5,118,80.8,33.5,430,1.24
PS-4,215-220,18.9,9.34,86.2,44,115,79.6,32.3,421,1.23
PS-1,0-2,35.5,10.3,102,37.8,107,66.7,48.2,373,1.01
PS-1,2 to 4,35.9,12.3,106,38.3,109,66.6,49.8,379,1.1
PS-1,4 to 6,37.7,13.1,107,40.7,112,71.3,49.7,386,1.06
PS-1,6 to 8,37.9,12.4,108,40.8,113,71.7,51.5,394,1.11
PS-1,8 to 10,37,11.7,107,40.2,112,70.3,49.9,382,1.01
PS-1,10 to 12,38.3,11.8,108,40.9,113,72.4,51,390,1.07
PS-1,12 to 14,39.3,12.8,109,40.1,113,73.1,50.9,391,1.05
PS-1,14-16,39.1,13.8,106,39.9,111,71.1,52.6,384,1.05
PS-1,16-18,40.6,13.1,108,40.3,114,72.1,53,399,1.1
PS-1,18-20,40.4,13.6,105,39.3,111,69.9,389,1.08,1.81
PS-1,20-22,41.2,13.6,107,39.5,112,69.7,52,396,1.08
PS-1,22-24,41.2,13.4,108,40.3,113,72.4,52.1,388,1.06
PS-1,24-26,40.1,14.2,109,39,108,70,50.3,378,0.995
PS-1,26-28,41.2,14.7,104,39.3,107,69.7,51.6,379,1.03
PS-1,28-30,42.6,14.4,111,41.3,113,73.7,53.3,394,1.09
PS-1,30-32,44.9,15.6,111,41.3,114,72.4,55.5,395,1.1
PS-1,32-34,43.6,15.3,111,41.1,113,73.3,54,388,1.03
PS-1,34-36,47.5,16.2,115,41.9,116,73,56.8,397,1.08
PS-1,36-38,50.3,18.1,43.1,118,76.4,59.1,404,1.11,1.86
PS-1,38-40,50.8,17.5,114,41,114,72.9,57.9,398,1.08
PS-1,40-42,53.8,18.4,117,41.8,116,73.2,61.1,412,1.12
PS-1,42-44,54.6,19.7,116,40.3,113,70.4,61.4,388,1.12
PS-1,44-46,54.4,19.3,119,40.4,112,68.7,60.4,386,1.09
PS-1,46-48,57.2,22,120,41.9,115,71.6,63,397,1.17
PS-1,48-50,57.5,22.9,119,42.3,113,72,62.6,389,1.18
PS-1,50-52,58.6,22.5,118,41,111,70.6,62.3,385,1.13
PS-1,52-54,56.1,22.1,119,42.1,113,71.4,62.6,389,1.17
PS-1,54-56,59.8,25,123,42.9,116,74.2,65.7,390,1.18
PS-1,56-58,59.4,24.7,121,41.2,111,71.6,63.8,387,1.16
PS-1,58-60,62.8,28.4,124,42.7,113,72.5,65.8,392,1.18
PS-1,60-65,60.6,25.7,120,41.5,111,70.7,64.4,382,1.14
PS-1,65-70,59.9,23.2,118,42,113,71,63.4,398,1.18
PS-1,70-75,54.9,21.8,115,41.9,112,71,59,385,1.18
PS-1,75-80,55,21.5,114,41.6,113,71.8,58.8,392,1.19
PS-1,80-85,55,21.8,112,41.3,111,70.6,61.7,386,1.17
PS-1,85-90,52.9,20.7,107,38.8,109,67.4,58,388,1.13
PS-1,90-95,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2
PS-1,95-100,52.4,18.3,107,41.1,112,67.7,79.3,403,1.17
PS-1,100-105,52.2,17.8,81.9,39.6,108,65.9,35.5,388,1.17
PS-1,105-110,54,20.2,84.9,39.5,109,66.6,37,399,1.21
PS-1,110-115,54.6,17.1,102,39.8,113,67,55.8,398,1.17
PS-1,115-120,42.6,14.8,96.3,38.5,109,64.5,55.9,391,1.19
PS-1,120-125,29.5,15,91.6,38.4,112,67,50.6,398,1.18
PS-1,125-130,23.3,11.7,83.9,38.1,109,65,38.9,400,1.18
PS-1,130-135,21.7,9.93,104,40.7,113,66.6,54.6,401,1.21
PS-1,135-140,16.3,9.64,97.9,38.2,104,62.7,52.3,365,1.13
PS-1,140-145,12.2,9.74,80.7,38.4,108,66.3,34.5,390,1.14
PS-1,145-150,10.7,8.77,77.9,37.6,105,64.7,33.4,385,1.11
PS-1,150-155,11.5,38.5,108,64.8,38.9,390,1.13,1.84,1.48
PS-1,155-160,12.3,10,81,37.8,107,65.4,36.5,391,1.15
PS-1,160-165,9.88,7.24,80.4,39.1,108,68.5,34.1,394,1.13
PS-1,165-170,10.2,7.36,79.4,38.4,105,66.8,33.2,390,1.13
PS-1,170-175,9.95,8.76,81.1,39.5,107,66.9,33.6,390,1.13
PS-1,175-180,11.4,10.3,80.7,38.9,107,66.2,34.2,391,1.15
PS-1,180-185,10,7.76,79.5,38.6,106,65.8,33.1,388,1.16
PS-1,185-190,12,8.39,79.7,37.5,104,64.9,33.8,381,1.11
PS-1,190-195,10.7,39.7,109,66.8,38.7,390,1.14,1.88,1.51
PS-1,195-200,9.65,6.63,76.9,36,100,63.2,31.8,370,1.09