psite_type,tim_code,psite_code,n_hosts,terminal
acanthocephalan,corynosoma_sp_cp,ACA-CP-COR,2,0
acanthocephalan,corynosoma_sp_sc,ACA-SC-COR,2,0
acanthocephalan,echinorhynchus_sp_sc,ACA-SC-ECH,2,0
acanthocephalan,echinorhynchus_gadi_all,ACA-HP-ECH,2,0
acanthocephalan,acanth_corn_pv,ACA-PV-SP1,2,NA
cestode,cest_sp1_mp,CES-MP-SP1,3,0
cestode,cest_sp2_mp,CES-MP-SP2,3,0
cestode,cest_unkn_mp_hake,CES-MP-SP3,3,0
cestode,clestobothrium_crassiceps_all,CES-MP-CLE,2,1
cestode,nybelinia_surmenicola_all,CES-MP-NYB,4,0
cestode,cest_sp1_cp,CES-CP-SP1,3,0
cestode,cest_sp3_cp,CES-CP-SP2,3,0
cestode,cest_sp1_tc,CES-GC-SP1,3,NA
cestode,cest_sp2_tc,CES-GC-SP2,3,0
cestode,cest_sp3_tc,CES-GC-SP3,3,0
cestode,gyrocotyle_sp_hc,CES-HC-GYR,2,1
cestode,cest_cysticerci_hp,CES-HP-SP1,3,0
copepod,cope_brach_mp,COP-MP-PAR,1,1
copepod,cope_mcp_mp,COP-MP-SP1,1,1
copepod,cope_a_cp,COP-CP-BOM,1,1
copepod,cope_h_cp,COP-CP-SP1,1,1
copepod,cope_bom_el,COP-EL-BOM,1,1
copepod,cope_clav_el,COP-EL-CLA,1,1
copepod,cope_sp1_tc,COP-GC-LEL,1,1
copepod,cope_sp2_tc,COP-GC-SP1,1,1
copepod,cope_sp4_tc,COP-GC-LEA,1,1
copepod,cope_fs_sc,COP-SC-CLA,1,1
copepod,cope_una_sc,COP-SC-SP1,1,1
copepod,cope_thb_sc,COP-SC-LER,1,1
copepod,cope_sp1_hp,COP-HP-LEP,1,1
copepod,cope_chalimis_pv,COP-PV-LEP,1,1
leech,oceanobdella_pallida_all,HIR-PV-OCE,1,1
monogenean,anthocotyle_merlucci_all,MON-MP-ANT,1,1
monogenean,mono_pistho_cp,MON-CP-GYR,1,1
monogenean,chimaericola_sp_hc,MON-HC-CHI,1,1
monogenean,microcotyle_sp_sc,MON-SC-MI1,1,1
monogenean,microcotyle_sp2_sc,MON-SC-MI2,1,1
nematode,ascarophis_sp2_mp,NEM-MP-ASC,2,1
nematode,nem_unkn_all_hake,NEM-MP-SP1,2,NA
nematode,nem_unkn_all_herring,NEM-CP-SP1,2,NA
nematode,cucullanellus_kanabus_all,NEM-EL-CUC,2,1
nematode,ascarophis_sp_tc,NEM-GC-ASC,2,1
nematode,nem_unkn_all_pollock,NEM-GC-SP1,2,NA
nematode,ascarophis_sebastodis_all,NEM-SC-ASC,2,1
nematode,anisakis_sp_all,NEM-SE-ANI,3,0
nematode,contracaecum_sp_all,NEM-SE-CON,3,0
nematode,nem_unkn_all_smelt,NEM-HP-SP1,2,NA
nematode,capillaria_parophrysi_all,NEM-PV-CAP,2,1
nematode,clavinema_mariae_all,NEM-PV-CLA,2,1
nematode,cucullanus_annulatus_all,NEM-PV-CUC,2,1
nematode,nem_unkn_all_sole,NEM-PV-SP1,2,NA
nematode,spirurid_sp1_pv,NEM-PV-SPR,2,1
trematode,aporocotyle_margolisi_all,TRE-MP-APO,2,1
trematode,lecithaster_sp_mp,TRE-MP-LEC,3,1
trematode,metacercaria_sp1_mp,TRE-MP-MET,3,0
trematode,podocotyle_sp1_mp,TRE-MP-POD,3,1
trematode,trem_unkn_mp_hake,TRE-MP-SP1,3,1
trematode,hemiurid_sp_all,TRE-CP-HEM,3,1
trematode,lecithaster_sp_all,TRE-CP-LEC,3,1
trematode,metacercaria_sp1_cp,TRE-CP-ME1,3,0
trematode,metacercaria_sp2_cp,TRE-CP-ME2,3,0
trematode,pronoprymna_sp1_all,TRE-CP-PRO,3,1
trematode,trem_unkn_all_herring,TRE-CP-SP1,3,1
trematode,metacacercariasp2_el,TRE-EL-MET,3,0
trematode,hemiuridae_sp_tc,TRE-GC-HEM,3,1
trematode,lecithaster_sp_tc,TRE-GC-LEC,3,1
trematode,lepidapedon_sp_tc,TRE-GC-LEP,3,1
trematode,metacercaria_sp1_tc,TRE-GC-ME1,3,0
trematode,metacercaria_sp2_tc,TRE-GC-ME2,3,0
trematode,podocotyle_sp3_rc,TRE-GC-POD,3,1
trematode,trem_unkn_tc_pollock,TRE-GC-SP1,3,1
trematode,gonocerca_sp_hc,TRE-HC-GON,3,1
trematode,lecithochirium_sp_sc,TRE-SC-LEC,3,1
trematode,metacercaria_sp1_sc,TRE-SC-MET,3,0
trematode,opechona_sp_sc,TRE-SC-OPE,3,1
trematode,trem_sp1_sc,TRE-SC-SP1,3,1
trematode,trem_sp3_sc,TRE-SC-SP2,3,1
trematode,derogenes_varicus_all,TRE-SE-DER,3,1
trematode,pronoprymna_petrowi_all,TRE-SE-PRO,3,1
trematode,lecithaster_sp_hp,TRE-HP-LEC,3,1
trematode,metacercaria_sp2_hp,TRE-HP-MET,3,0
trematode,cyst_os_pv,TRE-PV-ME1,3,0
trematode,metacercaria_sp_pv,TRE-PV-ME2,3,0
trematode,trem_sp1_pv,TRE-PV-SP1,3,1
trematode,trem_sp3_pv,TRE-PV-SP2,3,1